training,subset_size,fold,order_index,macro_f1
random-order trained,4,2,8,0.6424930984494415
random-order trained,4,2,9,0.6434363234360301
random-order trained,4,2,10,0.6405322072360431
random-order trained,4,2,11,0.640851473457791
random-order trained,4,2,12,0.6369035053203415
random-order trained,4,2,13,0.6349590941535816
random-order trained,4,2,14,0.6359278556661161
random-order trained,4,2,15,0.6375769665897837
random-order trained,4,2,16,0.6360325745637829
random-order trained,4,2,17,0.63680886090722
random-order trained,4,2,18,0.6406472384821753
random-order trained,4,2,19,0.638998102416717
random-order trained,4,2,20,0.6409911498243045
random-order trained,4,2,21,0.6413013282517972
random-order trained,4,2,22,0.6386377645956675
random-order trained,4,2,23,0.6385441803062797
random-order trained,5,0,0,0.6655684483495601
random-order trained,5,0,1,0.6708081910124486
random-order trained,5,0,2,0.672017429877299
random-order trained,5,0,3,0.6710991788145153
random-order trained,5,0,4,0.669062061054426
random-order trained,5,0,5,0.6657184767413251
random-order trained,5,0,6,0.6712255704101516
random-order trained,5,0,7,0.6767920751494678
random-order trained,5,0,8,0.6771052714204289
random-order trained,5,0,9,0.6766030464491652
random-order trained,5,0,10,0.6717533421531765
random-order trained,5,0,11,0.6657184767413251
random-order trained,5,0,12,0.6762341050365829
random-order trained,5,0,13,0.6696929298108307
random-order trained,5,0,14,0.6700214514256939
random-order trained,5,0,15,0.6750513813766825
random-order trained,5,0,16,0.6710283043431778
random-order trained,5,0,17,0.6789702881072001
random-order trained,5,0,18,0.6710991788145153
random-order trained,5,0,19,0.6715449775608197
random-order trained,5,0,20,0.6720553918781575
random-order trained,5,0,21,0.6684499730547595
random-order trained,5,0,22,0.6791099531490161
random-order trained,5,0,23,0.6706664674555307
random-order trained,5,1,0,0.6885823612041695
random-order trained,5,1,1,0.688051292040499
random-order trained,5,1,2,0.6689395428964102
random-order trained,5,1,3,0.6628426955106017
random-order trained,5,1,4,0.6845282211697767
random-order trained,5,1,5,0.6885823612041695
random-order trained,5,1,6,0.6766835623719742
random-order trained,5,1,7,0.6602909052798693
random-order trained,5,1,8,0.6843019201019476
random-order trained,5,1,9,0.6897834588506676
random-order trained,5,1,10,0.6868100884518752
random-order trained,5,1,11,0.6860545132858447
random-order trained,5,1,12,0.6602909052798693
random-order trained,5,1,13,0.6845608007858982
random-order trained,5,1,14,0.6777456998467932
random-order trained,5,1,15,0.6607251067346096
random-order trained,5,1,16,0.6810452366151263
random-order trained,5,1,17,0.6879667970767219
random-order trained,5,1,18,0.6612386743328451
random-order trained,5,1,19,0.6798578779710854
random-order trained,5,1,20,0.6538783389846968
random-order trained,5,1,21,0.6897499821113778
random-order trained,5,1,22,0.6859467116463173
random-order trained,5,1,23,0.6842225196530225
random-order trained,5,2,0,0.6414472819026301
random-order trained,5,2,1,0.6377551558678917
random-order trained,5,2,2,0.6394944727138507
random-order trained,5,2,3,0.6395951240102412
random-order trained,5,2,4,0.6425515649626631
random-order trained,5,2,5,0.6403465419170974
random-order trained,5,2,6,0.6367299991536041
random-order trained,5,2,7,0.6396536889256506
random-order trained,5,2,8,0.6447657795238759
random-order trained,5,2,9,0.6374284439726619
random-order trained,5,2,10,0.6412142596448784
random-order trained,5,2,11,0.6402136322244729
random-order trained,5,2,12,0.6379317376392794
random-order trained,5,2,13,0.6421242313379674
random-order trained,5,2,14,0.6379119789390002
random-order trained,5,2,15,0.6398688539577793
random-order trained,5,2,16,0.6417511762783009
random-order trained,5,2,17,0.6392063997255726
random-order trained,5,2,18,0.6398453549661894
random-order trained,5,2,19,0.6367299991536041
random-order trained,5,2,20,0.6390194335185762
random-order trained,5,2,21,0.6380071979759792
random-order trained,5,2,22,0.639247012364019
random-order trained,5,2,23,0.6417511762783009
random-order trained,6,0,0,0.6859515021570325
random-order trained,6,0,1,0.6990230036252073
random-order trained,6,0,2,0.6985333866109367
random-order trained,6,0,3,0.6892293092231918
random-order trained,6,0,4,0.6990230036252073
random-order trained,6,0,5,0.6990230036252073
random-order trained,6,0,6,0.6897195320651845
random-order trained,6,0,7,0.696076441033172
random-order trained,6,0,8,0.702499618208341
random-order trained,6,0,9,0.7007934733044697
random-order trained,6,0,10,0.6902113258448689
random-order trained,6,0,11,0.7008555581323727
random-order trained,6,0,12,0.690653677745509
random-order trained,6,0,13,0.6902113258448689
random-order trained,6,0,14,0.6893584320810529
random-order trained,6,0,15,0.6983609624333289
random-order trained,6,0,16,0.6910622952739238
random-order trained,6,0,17,0.6861945355334447
